uniform CR, uniform SR, ucb CR, ucb SR, epsilon CR, epsilon SR
12.15,0.018,11.712,0.02,10.909,0.013,
12.18,0.018,11.758,0.02,10.929,0.025,
12.205,0.018,11.82,0.02,10.971,0.021,
12.225,0.021,11.876,0.02,11.012,0.021,
12.24,0.021,11.923,0.02,11.035,0.021,
12.25,0.021,11.971,0.02,11.053,0.021,
12.255,0.021,12.018,0.02,11.076,0.021,
12.255,0.021,12.056,0.02,11.115,0.017,
12.35,0.014,12.084,0.02,11.138,0.013,
12.44,0.014,12.127,0.02,11.159,0.013,
12.525,0.014,12.169,0.027,11.215,0.024,
12.605,0.014,12.196,0.034,11.241,0.024,
12.68,0.014,12.238,0.027,11.282,0.025,
12.75,0.014,12.271,0.027,11.317,0.021,
12.815,0.014,12.326,0.027,11.368,0.021,
12.875,0.014,12.375,0.027,11.394,0.021,
12.93,0.014,12.422,0.027,11.445,0.018,
12.98,0.014,12.478,0.027,11.49,0.021,
13.025,0.014,12.536,0.027,11.55,0.021,
13.065,0.014,12.592,0.027,11.578,0.021,
13.1,0.014,12.635,0.027,11.619,0.021,
13.13,0.014,12.682,0.027,11.665,0.021,
13.155,0.016,12.746,0.027,11.725,0.018,
13.175,0.021,12.784,0.027,11.781,0.018,
13.19,0.021,12.847,0.027,11.824,0.018,
13.2,0.021,12.901,0.027,11.848,0.024,
13.205,0.021,12.945,0.034,11.872,0.031,
13.205,0.021,13.005,0.034,11.91,0.018,
13.3,0.021,13.041,0.027,11.941,0.029,
13.39,0.021,13.059,0.027,11.965,0.029,
13.475,0.021,13.087,0.027,12.006,0.027,
13.555,0.021,13.121,0.027,12.034,0.027,
13.63,0.021,13.178,0.027,12.092,0.03,
13.7,0.021,13.201,0.027,12.142,0.035,
13.765,0.021,13.238,0.027,12.191,0.035,
13.825,0.021,13.298,0.027,12.224,0.035,
13.88,0.021,13.349,0.027,12.277,0.035,
13.93,0.021,13.397,0.023,12.321,0.035,
13.975,0.021,13.438,0.023,12.382,0.035,
14.015,0.021,13.479,0.023,12.426,0.027,
14.05,0.021,13.526,0.023,12.463,0.027,
14.08,0.021,13.571,0.023,12.51,0.027,
14.105,0.022,13.629,0.023,12.539,0.035,
14.125,0.022,13.66,0.023,12.563,0.019,
14.14,0.02,13.704,0.023,12.587,0.024,
14.15,0.02,13.773,0.023,12.619,0.024,
14.155,0.02,13.831,0.023,12.664,0.027,
14.155,0.02,13.889,0.03,12.731,0.019,
14.25,0.02,13.929,0.023,12.788,0.019,
14.34,0.02,13.997,0.023,12.806,0.019,
14.425,0.02,14.036,0.023,12.832,0.027,
14.505,0.02,14.07,0.023,12.866,0.023,
14.58,0.02,14.1,0.023,12.893,0.02,
14.65,0.02,14.124,0.023,12.915,0.02,
14.715,0.02,14.172,0.023,12.948,0.012,
14.775,0.02,14.206,0.023,12.975,0.012,
14.83,0.02,14.24,0.023,13.01,0.012,
14.88,0.02,14.269,0.023,13.04,0.012,
14.925,0.02,14.325,0.027,13.074,0.02,
14.965,0.02,14.382,0.023,13.103,0.023,
15.0,0.02,14.428,0.023,13.154,0.017,
15.03,0.02,14.467,0.023,13.189,0.017,
15.055,0.02,14.51,0.023,13.212,0.023,
15.075,0.02,14.561,0.023,13.253,0.023,
15.09,0.02,14.625,0.023,13.274,0.02,
15.1,0.02,14.666,0.023,13.31,0.02,
15.105,0.02,14.707,0.023,13.334,0.014,
15.105,0.02,14.749,0.023,13.364,0.025,
15.2,0.02,14.798,0.023,13.4,0.025,
15.29,0.02,14.817,0.03,13.425,0.02,
15.375,0.02,14.882,0.03,13.494,0.02,
15.455,0.02,14.937,0.023,13.558,0.014,
15.53,0.02,14.996,0.023,13.608,0.017,
15.6,0.02,15.022,0.023,13.652,0.014,
15.665,0.02,15.038,0.023,13.67,0.014,
15.725,0.02,15.092,0.023,13.706,0.02,
15.78,0.02,15.129,0.027,13.735,0.02,
15.83,0.02,15.176,0.027,13.769,0.026,
15.875,0.02,15.223,0.027,13.798,0.018,
15.915,0.02,15.261,0.027,13.815,0.02,
15.95,0.02,15.293,0.027,13.843,0.014,
15.98,0.02,15.334,0.027,13.872,0.023,
16.005,0.022,15.376,0.027,13.887,0.022,
16.025,0.022,15.422,0.027,13.909,0.015,
16.04,0.022,15.479,0.027,13.939,0.015,
16.05,0.022,15.537,0.027,13.981,0.024,
16.055,0.019,15.598,0.027,14.023,0.024,
16.055,0.019,15.661,0.027,14.064,0.024,
16.15,0.019,15.703,0.027,14.068,0.016,
16.24,0.019,15.751,0.027,14.124,0.024,
16.325,0.019,15.812,0.02,14.175,0.024,
16.405,0.019,15.837,0.02,14.215,0.024,
16.48,0.019,15.878,0.02,14.231,0.024,
16.55,0.019,15.932,0.022,14.245,0.015,
16.615,0.019,15.976,0.022,14.268,0.015,
16.675,0.019,16.028,0.022,14.309,0.024,
16.73,0.019,16.05,0.022,14.333,0.024,
16.78,0.019,16.089,0.022,14.384,0.024,
16.825,0.019,16.126,0.022,14.42,0.018,
16.865,0.019,16.176,0.022,14.45,0.018,
16.9,0.019,16.208,0.022,14.485,0.014,
16.93,0.019,16.253,0.022,14.526,0.014,
16.955,0.019,16.308,0.022,14.546,0.014,
16.975,0.019,16.352,0.022,14.587,0.018,
16.99,0.019,16.399,0.022,14.65,0.018,
17.0,0.019,16.437,0.022,14.697,0.018,
17.005,0.019,16.466,0.022,14.722,0.018,
17.005,0.019,16.504,0.022,14.748,0.01,
17.1,0.019,16.547,0.022,14.774,0.01,
17.19,0.019,16.608,0.022,14.797,0.01,
17.275,0.019,16.661,0.022,14.847,0.01,
17.355,0.019,16.71,0.022,14.891,0.01,
17.43,0.019,16.771,0.022,14.924,0.01,
17.5,0.019,16.817,0.022,14.943,0.01,
17.565,0.019,16.865,0.022,14.965,0.01,
17.625,0.019,16.9,0.022,15.016,0.01,
17.68,0.019,16.944,0.022,15.037,0.01,
17.73,0.019,16.987,0.022,15.065,0.01,
17.775,0.019,17.04,0.022,15.087,0.01,
17.815,0.019,17.067,0.018,15.103,0.01,
